season,teams,rounds,scoring_type,slots_qb,slots_rb,slots_wr,slots_te,slots_flex,slots_k,slots_def,slots_bn,fold,train_drafts,test_drafts,known_pick_coverage,strategy,n,log_loss,multiclass_brier,top1_accuracy,top5_accuracy,ici,e50,e90,emax,calibration_intercept,calibration_slope
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,50,3,0.9975490196078431,adp_only,407.0,2.8344939822428112,0.9102013978709428,0.23095823095823095,0.5945945945945946,0.003882756502386636,0.000952497067233089,0.000952497067233089,0.48603704015908455,0.09412455681007592,1.0327369199456296
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,50,3,0.9975490196078431,position_baseline,407.0,2.8304949142237907,0.909734923764286,0.23095823095823095,0.597051597051597,0.0036488301380679143,0.0009606547176219428,0.0009606547176219428,0.2122746222761155,0.09739013459364927,1.0339081346012229
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,50,3,0.9975490196078431,roster_aware,407.0,2.804280753333666,0.9072588282287986,0.2457002457002457,0.597051597051597,0.0024721330607768177,0.00042857230221880066,0.00042857230221880066,0.3381220656747376,0.04983881904280433,1.017494937247411
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,50,3,0.9975490196078431,run_aware,407.0,2.8214308383670974,0.9071192911492312,0.23587223587223588,0.5945945945945946,0.00330625157508909,0.0009778853196401281,0.0009778853196401281,0.190776460442035,0.09746108678488989,1.034034649265495
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,50,3,0.9975490196078431,next_turn_aware,407.0,2.8261112709212095,0.9092250248671436,0.24078624078624078,0.5921375921375921,0.00403050784728537,0.00103248789460199,0.00103248789460199,0.21898255149939275,0.10934770681338835,1.0381004882545664
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,50,3,0.9975490196078431,roster_plus_run,407.0,2.798246407559011,0.9054241674428434,0.24815724815724816,0.6142506142506142,0.002586468721551262,0.0005305159932244494,0.0005305159932244494,0.5457618499397353,0.0423585613328511,1.0149066792655557
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,50,3,0.9975490196078431,roster_plus_next_turn,407.0,2.7983994443544344,0.9063854457617658,0.23832923832923833,0.5995085995085995,0.002721969125114669,0.0005467059264459822,0.0005467059264459822,0.3336430160985642,0.06463561344819616,1.022714800375493
2020,8,17,ppr,1,2,3,1,2,0,0,8,50,50,3,0.9975490196078431,opponent_aware,407.0,2.7912612658593474,0.9043151390812358,0.24324324324324326,0.6191646191646192,0.003084863386241621,0.0007845936252585672,0.0007845936252585672,0.3388565014962485,0.06025463015484615,1.0212314775555613
2020,10,15,ppr,1,2,2,1,2,1,1,5,50,50,42,0.9853641933287951,adp_only,5790.0,3.6086705238422727,0.9994877627956429,0.13592400690846287,0.48013816925734026,0.004999510647679118,0.0025393976692332197,0.0025393976692332197,0.9152393837348161,-1.0677507887856867,0.6941796188957186
2020,10,15,ppr,1,2,2,1,2,1,1,5,50,50,42,0.9853641933287951,position_baseline,5790.0,3.599695934980973,0.9995511543393081,0.1366148531951641,0.4846286701208981,0.004871677245812761,0.002473218639761611,0.002473218639761611,0.9182555767474087,-1.069106706935742,0.6929170404547996
2020,10,15,ppr,1,2,2,1,2,1,1,5,50,50,42,0.9853641933287951,roster_aware,5790.0,3.5126534036359476,0.991013581716384,0.1618307426597582,0.5110535405872193,0.004456565196637258,0.002268033240444226,0.002268033240444226,0.9258475443851171,-0.8747386934883596,0.7445676850683548
