control,strategy,drafts,mean_control_log_loss,mean_strategy_log_loss,mean_log_loss_delta,relative_log_loss_improvement,draft_win_rate,ci_low,ci_high,p_value_one_sided,holm_p,passes_holm_05
position_baseline,opponent_aware,2375,3.2853586045736445,3.2068757206789047,-0.07848288389474001,0.023888681066803995,0.984421052631579,-0.0800887627534612,-0.07687700503601881,0.0,0.0,True
position_baseline,roster_plus_next_turn,2375,3.2853586045736445,3.209097562077329,-0.07626104249631586,0.023212395258816076,0.9831578947368421,-0.07776403860812274,-0.07475804638450899,0.0,0.0,True
position_baseline,roster_plus_run,2375,3.2853586045736445,3.219896224374995,-0.06546238019864956,0.01992549005381557,0.9515789473684211,-0.06710204586206386,-0.06382271453523525,0.0,0.0,True
position_baseline,roster_aware,2375,3.2853586045736445,3.2225699113476547,-0.06278869322599047,0.019111671139515937,0.9494736842105264,-0.06432718382410199,-0.06125020262787895,0.0,0.0,True
position_baseline,next_turn_aware,2375,3.2853586045736445,3.2759795293187812,-0.009379075254863345,0.002854810199960046,0.6917894736842105,-0.010130657313855703,-0.008627493195870986,2.0062739552036205e-118,6.018821865610862e-118,True
position_baseline,run_aware,2375,3.2853586045736445,3.2807007420894463,-0.004657862484198582,0.0014177637953172704,0.6012631578947368,-0.005201184401941374,-0.00411454056645579,2.6022525936491025e-60,5.204505187298205e-60,True
position_baseline,adp_only,2375,3.2853586045736445,3.295343855752718,0.009985251179072998,-0.0030393184978870303,0.3296842105263158,0.008799231013143262,0.011171271345002735,1.0,1.0,False
