season,teams,scoring_type,fold,train_drafts,test_drafts,known_pick_coverage,strategy,n,log_loss,multiclass_brier,top1_accuracy,top5_accuracy,ici,e50,e90,emax,calibration_intercept,calibration_slope
2020,10,ppr,50,50,43,0.990366687383468,adp_only,6374.0,3.435733951532594,0.9561068216749627,0.13664888609978035,0.4683087543144023,0.0009129333111673728,0.00045953209477289994,0.00045953209477289994,0.26204796134217334,0.8225303712841422,1.2342272147468252
2020,10,ppr,50,50,43,0.990366687383468,position_baseline,6374.0,3.426443567896902,0.9555748960210128,0.13398180106683402,0.4670536554753687,0.0008618259886066576,0.00043367817648333126,0.00043367817648333126,0.27932590028636395,0.8753339791065005,1.2495759010138112
2020,10,ppr,50,50,43,0.990366687383468,roster_aware,6374.0,3.352117204333303,0.9487777775968756,0.164261060558519,0.49356761844995295,0.0007433230596713029,0.0003757940474561003,0.0003757940474561003,0.48749728272593407,0.6737533692724753,1.196073638406654
2020,10,ppr,50,50,43,0.990366687383468,run_aware,6374.0,3.407256770591908,0.9541999084879935,0.14621901474741136,0.45262001882648256,0.000903361227197971,0.0004547914146471252,0.0004547914146471252,0.26086933524146877,0.845477997845813,1.2423659929986264
2020,10,ppr,50,50,43,0.990366687383468,next_turn_aware,6374.0,3.426943551227571,0.9556564596303408,0.13272670222780045,0.46689676812048947,0.0008810791379638165,0.00044342668043623884,0.00044342668043623884,0.2696030232282808,0.862928924579551,1.2460642540365754
2020,10,ppr,50,50,43,0.990366687383468,roster_plus_run,6374.0,3.337329659880993,0.9471236674990783,0.17194854094759962,0.480859742704738,0.00047687655530313696,0.00024110400120986447,0.00024110400120986447,0.7026784160805252,0.6802504639359922,1.1987578232981666
2020,10,ppr,50,50,43,0.990366687383468,roster_plus_next_turn,6374.0,3.3480936830073453,0.9482272756946204,0.15877000313774708,0.4951364919987449,0.0005905219977872893,0.0002986074300000939,0.0002986074300000939,0.7137738583394757,0.6775121858509406,1.1972932588027807
2020,10,ppr,50,50,43,0.990366687383468,opponent_aware,6374.0,3.3331352499914897,0.9465014568811899,0.17210542830247882,0.48289927831816754,0.00044418126165743377,0.00021228816404499085,0.00021228816404499085,0.719952971271324,0.681323832062792,1.1992079038365118
2020,12,half_ppr,50,50,10,0.9969951923076923,adp_only,1659.0,3.2768407784869527,0.9502803524522017,0.1723930078360458,0.5207956600361664,0.002309821308397535,0.001173243132499592,0.001173243132499592,0.4401583561485722,0.03778357380599874,1.0114363399959028
2020,12,half_ppr,50,50,10,0.9969951923076923,position_baseline,1659.0,3.267164046714685,0.9502666849219552,0.1717902350813743,0.5226039783001808,0.002186119620368209,0.0011155012589369774,0.0011155012589369774,0.49496362361340773,0.03923948878631183,1.0119050303421278
2020,12,half_ppr,50,50,10,0.9969951923076923,roster_aware,1659.0,3.1705345668496485,0.9429777951436416,0.17962628089210367,0.5509342977697408,0.002293027874218429,0.0011737613886016116,0.0011737613886016116,0.4090110733619835,0.09793596004529442,1.03038784464807
2020,12,half_ppr,50,50,10,0.9969951923076923,run_aware,1659.0,3.2519562314452197,0.9484445901824204,0.1717902350813743,0.5183845690174804,0.0017906711855599216,0.0009135603575964289,0.0009135603575964289,0.4796849795551759,0.06712040091415225,1.020434619758688
2020,12,half_ppr,50,50,10,0.9969951923076923,next_turn_aware,1659.0,3.267277343733683,0.9503709051546233,0.1717902350813743,0.5213984327908379,0.002282032267546198,0.0011645567024533565,0.0011645567024533565,0.45492889949700366,0.0376985491986083,1.011437794944651
2020,12,half_ppr,50,50,10,0.9969951923076923,roster_plus_run,1659.0,3.161130461372662,0.9410170665690801,0.18806509945750452,0.5467148884870404,0.0018004121653216363,0.0009214180903545886,0.0009214180903545886,0.43679083715981826,0.12185632739513659,1.0378924336988817
2020,12,half_ppr,50,50,10,0.9969951923076923,roster_plus_next_turn,1659.0,3.1635487696094535,0.9422639715730419,0.17962628089210367,0.5599758890898131,0.0021728243609646326,0.0011088968307244595,0.0011088968307244595,0.4607813638155079,0.10794327857804438,1.033529543116726
2020,12,half_ppr,50,50,10,0.9969951923076923,opponent_aware,1659.0,3.1538771753013264,0.9402533674343918,0.18806509945750452,0.5467148884870404,0.0017413719606071592,0.0008912023910108563,0.0008912023910108563,0.48204102545797434,0.13140615021828997,1.0409101809260692
2020,12,ppr,50,50,59,0.9878003352579624,adp_only,10607.0,3.749585038165111,0.971362442875975,0.12510606203450553,0.4108607523333648,8.984815038596361e-05,4.494683158321605e-05,4.494683158321605e-05,0.13129008490242555,1.5571607630307682,1.4126613373238472
2020,12,ppr,50,50,59,0.9878003352579624,position_baseline,10607.0,3.73591350800929,0.9710078750074573,0.1279343829546526,0.40690110304515886,9.490349186803339e-05,4.747631913565309e-05,4.747631913565309e-05,0.159094417614158,1.6956941122649507,1.4502967309390362
2020,12,ppr,50,50,59,0.9878003352579624,roster_aware,10607.0,3.6579746376365305,0.9647389587640118,0.1636655039125106,0.4382954652587914,0.000403207312975941,0.0001983160387943328,0.0001983160387943328,0.10625367461641497,1.3558523499518889,1.3662541482161359
2020,12,ppr,50,50,59,0.9878003352579624,run_aware,10607.0,3.7252841646375545,0.9702887382893504,0.12180635429433392,0.36683322334307533,0.00012464317003370494,6.162730968053629e-05,6.162730968053629e-05,0.22926111852684677,1.4709456797286913,1.3919538558543827
2020,12,ppr,50,50,59,0.9878003352579624,next_turn_aware,10607.0,3.734510818720858,0.9709392069314547,0.12633166776656923,0.4045441689450363,9.610857984703915e-05,4.807980893524466e-05,4.807980893524466e-05,0.15877605720999322,1.7047909235140617,1.452828860511618
2020,12,ppr,50,50,59,0.9878003352579624,roster_plus_run,10607.0,3.6516928000886715,0.9636831922950991,0.1592344678042802,0.4044498915810314,0.0004291790539703354,0.00021317843330340147,0.00021317843330340147,0.09376115261717921,1.238995076173999,1.3354997897996561
2020,12,ppr,50,50,59,0.9878003352579624,roster_plus_next_turn,10607.0,3.656582227306445,0.964373562599928,0.16046007353634392,0.4388611294428208,0.00040005313412064616,0.0001962131503617584,0.0001962131503617584,0.11459140158399533,1.3226209996258038,1.3574355040442228
2020,12,ppr,50,50,59,0.9878003352579624,opponent_aware,10607.0,3.6502467772575606,0.9632223387193997,0.15716036579617235,0.40303573112095786,0.0003993919786974254,0.00020018353427229615,0.00020018353427229615,0.2715147881615235,1.2017989964284317,1.3255749816670948
2021,10,ppr,50,50,50,0.976105985332387,adp_only,8252.0,3.5306747011880923,0.998891901426731,0.13184682501211828,0.4738245273873,0.004375875837414617,0.0022167031936096704,0.0022167031936096704,0.8587808777830178,-0.7255059914370497,0.7941426941738507
2021,10,ppr,50,50,50,0.976105985332387,position_baseline,8252.0,3.527357675632147,0.9978495765457378,0.13523994183228308,0.4693407658749394,0.004252904028831809,0.002154350772656813,0.002154350772656813,0.900075519040004,-0.716100458043141,0.7966381834358065
2021,10,ppr,50,50,50,0.976105985332387,roster_aware,8252.0,3.4378627502892645,0.9925512537977951,0.1512360639844886,0.49527387300048475,0.003973315286027825,0.0020172909836964,0.0020172909836964,0.9036447470667613,-0.5494010122640862,0.841567324573295
2021,10,ppr,50,50,50,0.976105985332387,run_aware,8252.0,3.5137896197685037,0.9968524532020324,0.13427047988366456,0.4659476490547746,0.00431131470568523,0.00218479164737723,0.00218479164737723,0.9046505812567599,-0.6970022040861272,0.8014473371390551
2021,10,ppr,50,50,50,0.976105985332387,next_turn_aware,8252.0,3.5256993624107418,0.9978705411492436,0.13305865244789142,0.4661900145419292,0.004273783023565798,0.0021653257121065674,0.0021653257121065674,0.9001029631446797,-0.7110674624481429,0.7980194495080984
2021,10,ppr,50,50,50,0.976105985332387,roster_plus_run,8252.0,3.4260966196242646,0.9910441442195622,0.15426563257392148,0.4926078526417838,0.0039676169085145615,0.0020149925077242656,0.0020149925077242656,0.906379757257692,-0.5357988032324041,0.8450521484295287
2021,10,ppr,50,50,50,0.976105985332387,roster_plus_next_turn,8252.0,3.4380729198324436,0.992565533308313,0.15159961221522056,0.4951526902569074,0.0039726067637195755,0.002016951100797939,0.002016951100797939,0.9036005767382785,-0.5503714992993448,0.8412892176840415
2021,10,ppr,50,50,50,0.976105985332387,opponent_aware,8252.0,3.4261897268381927,0.9910471043512842,0.15378090159961222,0.4918807561803199,0.003968701311355156,0.002015478777618089,0.002015478777618089,0.9063277070651639,-0.536514004303828,0.8448452811190191
2021,12,ppr,50,50,100,0.9921562349927966,adp_only,18594.0,4.962388362845617,1.3665824357488692,0.059642895557706785,0.40615252231902765,0.020990839897352277,0.010701305321270997,0.010701305321270997,0.958653272174681,-3.0512546706404007,0.1597466343884986
2021,12,ppr,50,50,100,0.9921562349927966,position_baseline,18594.0,4.971584567785785,1.368294273632306,0.06023448424222867,0.4074432612670754,0.021073493751373084,0.010743936970640284,0.010743936970640284,0.9591128589146397,-3.0528777813770147,0.15910444062052503
2021,12,ppr,50,50,100,0.9921562349927966,roster_aware,18594.0,4.843848686832511,1.3502252934058347,0.060664730558244596,0.4329891362805206,0.020488889688055498,0.010462944317937546,0.010462944317937546,0.9620206578570579,-2.8777979872629276,0.19240990747570685
2021,12,ppr,50,50,100,0.9921562349927966,run_aware,18594.0,4.963976713294679,1.367532561495666,0.060342045821232655,0.4009357857373346,0.021065721489515344,0.010739950907139847,0.010739950907139847,0.9599202821873006,-3.032854523531807,0.16276000544031013
2021,12,ppr,50,50,100,0.9921562349927966,next_turn_aware,18594.0,4.968111183993421,1.3677298716512918,0.060557168979240614,0.40717435731956547,0.021057184333128334,0.010735668926746525,0.010735668926746525,0.9590202485907188,-3.0507511950087842,0.15959359084321126
